,trade_date,ts_code,pre_close,up_limit,down_limit
0,20191009,000001.SZ,16.2,17.82,14.58
1,20191009,000002.SZ,26.36,29.0,23.72
2,20191009,000004.SZ,18.83,20.71,16.95
3,20191009,000005.SZ,3.16,3.48,2.84
4,20191009,000006.SZ,5.06,5.57,4.55
5,20191009,000007.SZ,8.46,9.31,7.61
6,20191009,000008.SZ,3.43,3.77,3.09
7,20191009,000009.SZ,4.59,5.05,4.13
8,20191009,000010.SZ,3.4,3.57,3.23
9,20191009,000011.SZ,9.69,10.66,8.72
10,20191009,000012.SZ,4.26,4.69,3.83
11,20191009,000014.SZ,9.4,10.34,8.46
12,20191009,000016.SZ,4.22,4.64,3.8
13,20191009,000017.SZ,4.79,5.27,4.31
14,20191009,000018.SZ,0.93,0.98,0.88
15,20191009,000019.SZ,6.09,6.7,5.48
16,20191009,000020.SZ,11.02,12.12,9.92
17,20191009,000021.SZ,10.97,12.07,9.87
18,20191009,000023.SZ,13.74,15.11,12.37
19,20191009,000025.SZ,20.56,22.62,18.5
20,20191009,000026.SZ,7.93,8.72,7.14
21,20191009,000027.SZ,5.85,6.44,5.27
22,20191009,000028.SZ,43.9,48.29,39.51
23,20191009,000029.SZ,,12.07,9.87
24,20191009,000030.SZ,4.59,5.05,4.13
25,20191009,000031.SZ,7.04,7.74,6.34
26,20191009,000032.SZ,11.22,12.34,10.1
27,20191009,000034.SZ,15.8,17.38,14.22
28,20191009,000035.SZ,5.92,6.51,5.33
29,20191009,000036.SZ,4.19,4.61,3.77
30,20191009,000037.SZ,13.61,14.97,12.25
31,20191009,000038.SZ,12.4,13.64,11.16
32,20191009,000039.SZ,10.12,11.13,9.11
33,20191009,000040.SZ,5.09,5.6,4.58
34,20191009,000042.SZ,9.3,10.23,8.37
35,20191009,000043.SZ,17.75,19.53,15.98
36,20191009,000045.SZ,7.27,8.0,6.54
37,20191009,000046.SZ,4.33,4.76,3.9
38,20191009,000048.SZ,,26.11,23.63
39,20191009,000049.SZ,39.84,43.82,35.86
40,20191009,000050.SZ,14.07,15.48,12.66
41,20191009,000055.SZ,4.68,5.15,4.21
42,20191009,000056.SZ,4.64,5.1,4.18
43,20191009,000058.SZ,8.26,9.09,7.43
44,20191009,000059.SZ,5.77,6.35,5.19
45,20191009,000060.SZ,4.06,4.47,3.65
46,20191009,000061.SZ,5.14,5.65,4.63
47,20191009,000062.SZ,14.9,16.39,13.41
48,20191009,000063.SZ,31.81,34.99,28.63
49,20191009,000065.SZ,8.53,9.38,7.68
50,20191009,000066.SZ,12.45,13.7,11.21
51,20191009,000068.SZ,4.07,4.48,3.66
52,20191009,000069.SZ,7.18,7.9,6.46
53,20191009,000070.SZ,11.7,12.87,10.53
54,20191009,000078.SZ,3.35,3.69,3.02
55,20191009,000088.SZ,5.88,6.47,5.29
56,20191009,000089.SZ,10.92,12.01,9.83
57,20191009,000090.SZ,5.2,5.72,4.68
58,20191009,000096.SZ,9.94,10.93,8.95
59,20191009,000099.SZ,7.47,8.22,6.72
